id,hhid,inc,female
2,358836,246393.55367639998,FALSE
6,170809,143023.11659999998,TRUE
7,64815,840204.4949999999,TRUE
9,123377,1335077.266932,FALSE
10,92298,110242.57139999999,TRUE
18,63484,439739.711028,FALSE
22,13435,1089751.9524120002,FALSE
26,238365,2072628.1939680004,FALSE
35,321308,813661.6426200002,FALSE
47,16225,1452915.472428,FALSE
53,317236,150678.70739999998,TRUE
59,386224,210085.03910880003,FALSE
60,184474,1285835.0098680002,FALSE
63,162662,381604.1814,TRUE
65,205608,239082.1137252,FALSE
73,379785,840204.4949999999,TRUE
75,198027,738163.647,TRUE
81,156743,466769.8854,TRUE
88,178258,170020.63259999998,TRUE
89,101494,281388.2416992,FALSE
93,9233,1314344.1870000004,TRUE
97,192593,895160.799,TRUE
102,399602,3341345.194728,FALSE
103,308055,456505.42860000004,TRUE
104,386556,501612.50412,FALSE
108,419521,868952.7989999999,TRUE
111,156067,592227.4848444,FALSE
118,318692,80839.90980000001,TRUE
121,119084,479301.7829796001,FALSE
126,233122,451175.8221144,FALSE
127,65484,627779.2949999999,TRUE
139,355779,246393.55367639998,FALSE
140,330512,592227.4848444,FALSE
141,17763,1009895.6790000001,TRUE
143,311254,726075.932364,FALSE
147,100356,335757.3391764,FALSE
150,53838,287316.1278,TRUE
153,200459,373063.743,TRUE
156,414614,379975.86919799994,FALSE
158,37680,695421.675,TRUE
159,107557,373063.743,TRUE
161,161977,2306688.579,TRUE
165,427477,321996.70619999996,TRUE
168,47393,373063.743,TRUE
172,134955,1805447.0070000002,TRUE
174,130250,356631.795,TRUE
175,254999,1096858.9710000001,TRUE
184,369785,466769.8854,TRUE
188,276665,777957.0193800002,FALSE
192,251335,287316.1278,TRUE
193,90385,743703.3437040001,FALSE
199,359963,57623.64659999998,TRUE
205,435266,388225.25820000004,TRUE
218,304545,110242.57139999999,TRUE
220,370823,1511825.0339520003,FALSE
224,173338,558791.4239135999,FALSE
238,419782,726075.932364,FALSE
241,333563,1511825.0339520003,FALSE
248,77704,469768.32826200005,FALSE
263,124592,379975.86919799994,FALSE
271,101068,647051.5624032,FALSE
272,30753,99995.87498760001,FALSE
277,300284,30925.18251000002,FALSE
287,277629,327064.8752028,FALSE
292,58439,364745.2302000001,TRUE
293,230098,379975.86919799994,FALSE
296,234258,242738.33220000006,TRUE
307,71732,3341345.194728,FALSE
308,148574,314143.479,TRUE
317,120595,42638.32985039997,FALSE
323,87103,943332.328908,FALSE
326,375953,373063.743,TRUE
327,150981,74088.07379999998,TRUE
328,284014,896465.8366200001,FALSE
338,426128,273103.38899999997,TRUE
339,369081,176351.0346,TRUE
343,239763,42638.32985039997,FALSE
344,215084,570917.295,TRUE
357,305594,1671679.3823640004,FALSE
365,422469,491155.05000959995,FALSE
370,339718,327064.8752028,FALSE
372,392740,1380631.84092,FALSE
375,116818,466769.8854,TRUE
391,246442,760509.7109999999,TRUE
393,369666,479301.7829796001,FALSE
394,158147,246393.55367639998,FALSE
402,275997,373063.743,TRUE
405,111998,111547.77564240003,FALSE
408,383385,122451.2406,TRUE
409,64149,143023.11659999998,TRUE
415,252019,784534.9589999999,TRUE
416,165849,436661.85419999994,TRUE
419,85931,290935.3267368,FALSE
426,371527,513427.5381024,FALSE
428,251535,777957.0193800002,FALSE
430,354760,201697.28093880002,FALSE
433,283508,42638.32985039997,FALSE
436,345195,150817.54538160004,FALSE
442,86008,379975.86919799994,FALSE
449,48666,57623.64659999998,TRUE
450,272096,784534.9589999999,TRUE
457,299215,122451.2406,TRUE
460,22712,259312.45859999998,TRUE
467,270841,142812.9355068,FALSE
471,16503,409444.6891896,FALSE
473,344532,356631.795,TRUE
483,58029,379975.86919799994,FALSE
495,140368,220299.73722000004,FALSE
499,159909,581569.2561203999,FALSE
501,437744,242738.33220000006,TRUE
516,218411,1124738.2577880002,FALSE
527,194522,1057210.926444,FALSE
533,425178,513427.5381024,FALSE
535,368327,738163.647,TRUE
536,346047,1247670.1138680002,FALSE
556,388316,318843.8158464,FALSE
561,286176,395896.80780000007,TRUE
562,276312,2072628.1939680004,FALSE
567,246295,131980.57944479998,FALSE
572,256170,513427.5381024,FALSE
573,274486,409444.6891896,FALSE
575,165192,246393.55367639998,FALSE
577,81206,777957.0193800002,FALSE
589,42326,777957.0193800002,FALSE
595,222168,231123.74220000004,TRUE
597,209299,131980.57944479998,FALSE
598,15478,659962.7189999999,TRUE
605,95025,525541.212396,FALSE
612,247992,833867.910504,FALSE
620,61739,642480.5789999999,TRUE
627,114396,266153.7762,TRUE
628,301115,661998.9802248002,FALSE
629,361274,2306688.579,TRUE
635,90935,479301.7829796001,FALSE
644,149309,1778569.7148359998,FALSE
645,78462,272594.6407512,FALSE
646,140249,41452.234200000006,TRUE
647,182975,466769.8854,TRUE
648,223733,1124738.2577880002,FALSE
655,268754,569532.0479219999,FALSE
656,374559,777957.0193800002,FALSE
658,16864,190548.97405919997,FALSE
665,177828,1314344.1870000004,TRUE
669,322341,102803.94539999997,TRUE
672,209365,1896262.7574240002,FALSE
678,46129,246393.55367639998,FALSE
683,323365,928975.671,TRUE
685,133206,491155.05000959995,FALSE
686,394396,218074.077,TRUE
690,185689,201697.28093880002,FALSE
709,324630,2611421.7947640005,FALSE
713,143333,1162197.103212,FALSE
716,199572,1022283.9129600001,FALSE
720,50055,960258.195,TRUE
726,43513,1162197.103212,FALSE
741,134199,30925.18251000002,FALSE
746,412921,66187.63816919996,FALSE
755,42800,854011.478916,FALSE
757,427420,115739.37180000002,TRUE
760,165560,395896.80780000007,TRUE
765,417157,994968.7516800001,FALSE
768,194938,456505.42860000004,TRUE
773,183550,388225.25820000004,TRUE
780,362667,1435455.099,TRUE
785,4243,150678.70739999998,TRUE
791,283348,726075.932364,FALSE
793,96350,1162197.103212,FALSE
797,89276,642480.5789999999,TRUE
800,263995,1050349.131,TRUE
801,396613,379975.86919799994,FALSE
810,254918,409444.6891896,FALSE
820,135250,229863.58755119995,FALSE
822,385113,115739.37180000002,TRUE
826,384922,121239.68282999996,FALSE
840,176387,714179.115,TRUE
841,41132,501612.50412,FALSE
845,371365,1380631.84092,FALSE
847,391709,726075.932364,FALSE
851,77077,1205805.94902,FALSE
856,436314,451175.8221144,FALSE
857,113731,49859.62019999996,TRUE
862,341651,163453.09499999997,TRUE
880,383724,318843.8158464,FALSE
882,1449,895160.799,TRUE
887,82871,1124738.2577880002,FALSE
891,388988,895160.799,TRUE
897,300656,513427.5381024,FALSE
898,179716,205402.8366,TRUE
900,104441,1205805.94902,FALSE
901,185453,743703.3437040001,FALSE
914,224297,1009895.6790000001,TRUE
916,200485,176351.0346,TRUE
918,81933,163453.09499999997,TRUE
919,80473,418704.78783959994,FALSE
922,341124,110242.57139999999,TRUE
924,228669,436661.85419999994,TRUE
931,226013,743703.3437040001,FALSE
934,253316,223950.23820000002,TRUE
938,18090,813661.6426200002,FALSE
